happened_date,app_cum,call_cum,intro_cum,pay_cum,daily_revenue,CCR_app(%),CCR_call(%),CCR_intro(%),DAU_request,Daily_revenue_VarRel(%)
2022-03-01,84059,44937,19970,18184,1393947.0,53.46,44.44,91.06,,
2022-03-02,84063,44947,19974,18188,1108858.0,53.47,44.44,91.06,4.0,-20.45
2022-03-03,84071,44956,19976,18192,1464322.0,53.47,44.43,91.07,8.0,32.06
2022-03-04,84075,44962,19977,18193,1745068.0,53.48,44.43,91.07,4.0,19.17
2022-03-05,84082,44967,19979,18195,887964.0,53.48,44.43,91.07,7.0,-49.12
2022-03-06,84084,44972,19980,18197,841438.0,53.48,44.43,91.08,2.0,-5.24
2022-03-07,84089,44980,19984,18200,1508456.0,53.49,44.43,91.07,5.0,79.27
2022-03-08,84092,44986,19985,18205,1129025.0,53.5,44.42,91.09,3.0,-25.15
2022-03-09,84097,44992,19989,18210,3212223.0,53.5,44.43,91.1,5.0,184.51
2022-03-10,84102,45008,19990,18215,3187560.0,53.52,44.41,91.12,5.0,-0.77
2022-03-11,84106,45013,19993,18219,1840455.0,53.52,44.42,91.13,4.0,-42.26
2022-03-12,84110,45017,19994,18223,1796905.0,53.52,44.41,91.14,4.0,-2.37
2022-03-13,84116,45019,19994,18224,1965796.0,53.52,44.41,91.15,6.0,9.4
